Lipid ID	Level	Name	Abbreviation*	Synonyms*	Lipid class*	Parent	Components*	SMILES (pH7.3)	InChI (pH7.3)	InChI key (pH7.3)	Formula (pH7.3)	Charge (pH7.3)	Mass (pH7.3)	Exact Mass (neutral form)	Exact m/z of [M.]+	Exact m/z of [M+H]+	Exact m/z of [M+K]+	Exact m/z of [M+Na]+	Exact m/z of [M+Li]+	Exact m/z of [M+NH4]+	Exact m/z of [M-H]-	Exact m/z of [M+Cl]-	Exact m/z of [M+OAc]-	CHEBI	LIPID MAPS	HMDB	PMID
SLM:000001260	Species	pentadecanoate	FA(15:0)	fatty acid (15:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C15H29O2	-1	241.3901	242.22458	242.224032	243.231857	281.187739	265.213801	249.240036	260.258406	241.217304	277.193982	301.238433	78122			
SLM:000001261	Species	hexadecanoate	FA(16:0)	fatty acid (16:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C16H31O2	-1	255.4167	256.24023	256.239682	257.247507	295.203389	279.229451	263.255686	274.274056	255.232954	291.209632	315.254083	78123			
SLM:000001262	Species	hexadecenoate	FA(16:1)	fatty acid (16:1)	SLM:000389821			[O-]C([*])=O	InChI=none	none	C16H29O2	-1	253.4008	254.22458	254.224032	255.231857	293.187739	277.213801	261.240036	272.258406	253.217304	289.193982	313.238433	78095			
SLM:000001263	Species	hexadecadienoate	FA(16:2)	fatty acid (16:2)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C16H27O2	-1	251.3849	252.20893	252.208382	253.216207	291.172088	275.198151	259.224386	270.242756	251.201654	287.178331	311.222783	78096			
SLM:000001264	Species	heptadecanoate	FA(17:0)	fatty acid (17:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C17H33O2	-1	269.4433	270.25588	270.255332	271.263157	309.219039	293.245101	277.271336	288.289706	269.248604	305.225282	329.269733	78124			
SLM:000001265	Species	octadecanoate	FA(18:0)	fatty acid (18:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C18H35O2	-1	283.4698	284.27153	284.270982	285.278807	323.234689	307.260752	291.286986	302.305356	283.264254	319.240932	343.285383	78125			
SLM:000001266	Species	octadecenoate	FA(18:1)	fatty acid (18:1)	SLM:000389821			[O-]C([*])=O	InChI=none	none	C18H33O2	-1	281.454	282.25588	282.255332	283.263157	321.219039	305.245101	289.271336	300.289706	281.248604	317.225282	341.269733	78049			
SLM:000001267	Species	octadecadienoate	FA(18:2)	fatty acid (18:2)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C18H31O2	-1	279.4381	280.24023	280.239682	281.247507	319.203389	303.229451	287.255686	298.274056	279.232954	315.209632	339.254083	25626			
SLM:000001268	Species	octadecatrienoate	FA(18:3)	fatty acid (18:3)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C18H29O2	-1	277.4222	278.22458	278.224032	279.231857	317.187739	301.213801	285.240036	296.258406	277.217304	313.193982	337.238433	36434			
SLM:000001269	Species	nonadecanoate	FA(19:0)	fatty acid (19:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C19H37O2	-1	297.4964	298.287181	298.286632	299.294457	337.250339	321.276402	305.302636	316.321006	297.279904	333.256582	357.301033	78892			
SLM:000001270	Species	eicosanoate	FA(20:0)	fatty acid (20:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C20H39O2	-1	311.523	312.302831	312.302282	313.310107	351.265989	335.292052	319.318286	330.336656	311.295554	347.272232	371.316683	78126			
SLM:000001271	Species	eicosenoate	FA(20:1)	fatty acid (20:1)	SLM:000389821			[O-]C([*])=O	InChI=none	none	C20H37O2	-1	309.5071	310.287181	310.286632	311.294457	349.250339	333.276402	317.302636	328.321006	309.279904	345.256582	369.301033	78075			
SLM:000001272	Species	eicosadienoate	FA(20:2)	fatty acid (20:2)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C20H35O2	-1	307.4912	308.27153	308.270982	309.278807	347.234689	331.260752	315.286986	326.305356	307.264254	343.240932	367.285383	78073			
SLM:000001273	Species	eicosatrienoate	FA(20:3)	fatty acid (20:3)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C20H33O2	-1	305.4754	306.25588	306.255332	307.263157	345.219039	329.245101	313.271336	324.289706	305.248604	341.225282	365.269733	78072			
SLM:000001274	Species	eicosatetraenoate	FA(20:4)	fatty acid (20:4)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C20H31O2	-1	303.4595	304.24023	304.239682	305.247507	343.203389	327.229451	311.255686	322.274056	303.232954	339.209632	363.254083	62920			
SLM:000001275	Species	eicosapentaenoate	FA(20:5)	fatty acid (20:5)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C20H29O2	-1	301.4436	302.22458	302.224032	303.231857	341.187739	325.213801	309.240036	320.258406	301.217304	337.193982	361.238433	61330			
SLM:000001276	Species	heneicosanoate	FA(21:0)	fatty acid (21:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C21H41O2	-1	325.5496	326.318481	326.317932	327.325757	365.281639	349.307702	333.333936	344.352306	325.311204	361.287882	385.332334	78893			
SLM:000001277	Species	docosanoate	FA(22:0)	fatty acid (22:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C22H43O2	-1	339.5762	340.334131	340.333582	341.341407	379.297289	363.323352	347.349586	358.367956	339.326854	375.303532	399.347984	78127			
SLM:000001278	Species	docosenoate	FA(22:1)	fatty acid (22:1)	SLM:000389821			[O-]C([*])=O	InChI=none	none	C22H41O2	-1	337.5603	338.318481	338.317932	339.325757	377.281639	361.307702	345.333936	356.352306	337.311204	373.287882	397.332334	78076			
SLM:000001279	Species	docosadienoate	FA(22:2)	fatty acid (22:2)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C22H39O2	-1	335.5444	336.302831	336.302282	337.310107	375.265989	359.292052	343.318286	354.336656	335.295554	371.272232	395.316683	78894			
SLM:000001280	Species	docosatrienoate	FA(22:3)	fatty acid (22:3)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C22H37O2	-1	333.5285	334.287181	334.286632	335.294457	373.250339	357.276402	341.302636	352.321006	333.279904	369.256582	393.301033	78895			
SLM:000001281	Species	docosatetraenoate	FA(22:4)	fatty acid (22:4)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C22H35O2	-1	331.5126	332.27153	332.270982	333.278807	371.234689	355.260752	339.286986	350.305356	331.264254	367.240932	391.285383	78069			
SLM:000001282	Species	docosapentaenoate	FA(22:5)	fatty acid (22:5)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C22H33O2	-1	329.4968	330.25588	330.255332	331.263157	369.219039	353.245101	337.271336	348.289706	329.248604	365.225282	389.269733	78053			
SLM:000001283	Species	docosahexaenoate	FA(22:6)	fatty acid (22:6)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C22H31O2	-1	327.4809	328.24023	328.239682	329.247507	367.203389	351.229451	335.255686	346.274056	327.232954	363.209632	387.254083	78060			
SLM:000001284	Species	tetracosanoate	FA(24:0)	fatty acid (24:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C24H47O2	-1	367.6293	368.365431	368.364882	369.372707	407.328589	391.354652	375.380886	386.399256	367.358154	403.334832	427.379284	78128			
SLM:000001285	Species	tetracosenoate	FA(24:1)	fatty acid (24:1)	SLM:000389821			[O-]C([*])=O	InChI=none	none	C24H45O2	-1	365.6134	366.349781	366.349232	367.357057	405.312939	389.339002	373.365236	384.383606	365.342504	401.319182	425.363634	78068			
SLM:000001286	Species	tetracosatetraenoate	FA(24:4)	fatty acid (24:4)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C24H39O2	-1	359.5658	360.302831	360.302282	361.310107	399.265989	383.292052	367.318286	378.336656	359.295554	395.272232	419.316683	78061			2306213
SLM:000001287	Species	tetracosapentaenoate	FA(24:5)	fatty acid (24:5)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C24H37O2	-1	357.5499	358.287181	358.286632	359.294457	397.250339	381.276402	365.302636	376.321006	357.279904	393.256582	417.301033	78052			2306213
SLM:000001288	Species	tetracosahexaenoate	FA(24:6)	fatty acid (24:6)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C24H35O2	-1	355.534	356.27153	356.270982	357.278807	395.234689	379.260752	363.286986	374.305356	355.264254	391.240932	415.285383	78056			2306213
SLM:000001289	Species	hexacosanoate	FA(26:0)	fatty acid (26:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C26H51O2	-1	395.6825	396.396731	396.396182	397.404007	435.359889	419.385952	403.412186	414.430557	395.389455	431.366132	455.410584	78129			
SLM:000001290	Species	hexacosenoate	FA(26:1)	fatty acid (26:1)	SLM:000389821			[O-]C([*])=O	InChI=none	none	C26H49O2	-1	393.6666	394.381081	394.380532	395.388357	433.344239	417.370302	401.396536	412.414906	393.373804	429.350482	453.394934	78055			
SLM:000001291	Species	hexacosatetraenoate	FA(26:4)	fatty acid (26:4)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C26H43O2	-1	387.619	388.334131	388.333582	389.341407	427.297289	411.323352	395.349586	406.367956	387.326854	423.303532	447.347984	78054			2306213
SLM:000001292	Species	hexacosapentaenoate	FA(26:5)	fatty acid (26:5)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C26H41O2	-1	385.6031	386.318481	386.317932	387.325757	425.281639	409.307702	393.333936	404.352306	385.311204	421.287882	445.332334	78051			2306213
SLM:000001293	Species	hexacosahexaenoate	FA(26:6)	fatty acid (26:6)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C26H39O2	-1	383.5872	384.302831	384.302282	385.310107	423.265989	407.292052	391.318286	402.336656	383.295554	419.272232	443.316683	78057			
SLM:000001294	Species	octacosanoate	FA(28:0)	fatty acid (28:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C28H55O2	-1	423.7356	424.428031	424.427483	425.435308	463.391189	447.417252	431.443487	442.461857	423.420755	459.397432	483.441884	78130			
SLM:000001295	Species	octacosatetraenoate	FA(28:4)	fatty acid (28:4)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C28H47O2	-1	415.6721	416.365431	416.364882	417.372707	455.328589	439.354652	423.380886	434.399256	415.358154	451.334832	475.379284	78062			2306213
SLM:000001296	Species	octacosapentaenoate	FA(28:5)	fatty acid (28:5)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C28H45O2	-1	413.6562	414.349781	414.349232	415.357057	453.312939	437.339002	421.365236	432.383606	413.342504	449.319182	473.363634	78063			2306213
SLM:000001297	Species	octacosahexaenoate	FA(28:6)	fatty acid (28:6)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C28H43O2	-1	411.6404	412.334131	412.333582	413.341407	451.297289	435.323352	419.349586	430.367956	411.326854	447.303532	471.347984	78066			
SLM:000001298	Species	triacontanoate	FA(30:0)	fatty acid (30:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C30H59O2	-1	451.7888	452.459331	452.458783	453.466608	491.422489	475.448552	459.474787	470.493157	451.452055	487.428733	511.473184	78131			
SLM:000001299	Species	triacontatetraenoate	FA(30:4)	fatty acid (30:4)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C30H51O2	-1	443.7253	444.396731	444.396182	445.404007	483.359889	467.385952	451.412186	462.430557	443.389455	479.366132	503.410584	78079			
SLM:000001300	Species	triacontapentaenoate	FA(30:5)	fatty acid (30:5)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C30H49O2	-1	441.7094	442.381081	442.380532	443.388357	481.344239	465.370302	449.396536	460.414906	441.373804	477.350482	501.394934	78077			2306213
SLM:000001301	Species	triacontahexaenoate	FA(30:6)	fatty acid (30:6)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C30H47O2	-1	439.6935	440.365431	440.364882	441.372707	479.328589	463.354652	447.380886	458.399256	439.358154	475.334832	499.379284	78080			
SLM:000001302	Species	dotriacontatetraenoate	FA(32:4)	fatty acid (32:4)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C32H55O2	-1	471.7784	472.428031	472.427483	473.435308	511.391189	495.417252	479.443487	490.461857	471.420755	507.397432	531.441884	78081			2306213
SLM:000001303	Species	dotriacontapentaenoate	FA(32:5)	fatty acid (32:5)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C32H53O2	-1	469.7626	470.412381	470.411832	471.419657	509.375539	493.401602	477.427836	488.446207	469.405105	505.381782	529.426234	78082			2306213
SLM:000001304	Species	dotriacontahexaenoate	FA(32:6)	fatty acid (32:6)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C32H51O2	-1	467.7467	468.396731	468.396182	469.404007	507.359889	491.385952	475.412186	486.430557	467.389455	503.366132	527.410584	78083			2306213
SLM:000001305	Species	tetratriacontatetraenoate	FA(34:4)	fatty acid (34:4)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C34H59O2	-1	499.8316	500.459331	500.458783	501.466608	539.422489	523.448552	507.474787	518.493157	499.452055	535.428733	559.473184	78086			2306213
SLM:000001306	Species	tetratriacontapentaenoate	FA(34:5)	fatty acid (34:5)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C34H57O2	-1	497.8157	498.443681	498.443133	499.450958	537.406839	521.432902	505.459137	516.477507	497.436405	533.413082	557.457534	78087			2306213
SLM:000001307	Species	tetratriacontahexaenoate	FA(34:6)	fatty acid (34:6)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C34H55O2	-1	495.7998	496.428031	496.427483	497.435308	535.391189	519.417252	503.443487	514.461857	495.420755	531.397432	555.441884	78088			2306213
SLM:000001308	Species	hexatriacontatetraenoate	FA(36:4)	fatty acid (36:4)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C36H63O2	-1	527.8848	528.490631	528.490083	529.497908	567.45379	551.479852	535.506087	546.524457	527.483355	563.460033	587.504484	78089			2306213
SLM:000001309	Species	hexatriacontapentaenoate	FA(36:5)	fatty acid (36:5)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C36H61O2	-1	525.8689	526.474981	526.474433	527.482258	565.43814	549.464202	533.490437	544.508807	525.467705	561.444383	585.488834	78091			2306213
SLM:000001310	Species	hexatriacontahexaenoate	FA(36:6)	fatty acid (36:6)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C36H59O2	-1	523.853	524.459331	524.458783	525.466608	563.422489	547.448552	531.474787	542.493157	523.452055	559.428733	583.473184	78092			2306213
SLM:000001311	Species	octatriacontatetraenoate	FA(38:4)	fatty acid (38:4)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C38H67O2	-1	555.9379	556.521931	556.521383	557.529208	595.48509	579.511153	563.537387	574.555757	555.514655	591.491333	615.535784	78093			
SLM:000001312	Species	octatriacontapentaenoate	FA(38:5)	fatty acid (38:5)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C38H65O2	-1	553.922	554.506281	554.505733	555.513558	593.46944	577.495503	561.521737	572.540107	553.499005	589.475683	613.520134	78094			
SLM:000055220	Species	Lysophosphatidate (10:0)	LPA(10:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C13H25O7P	-2	324.308289	326.149445	326.148895	327.156708	365.11261	349.138672	333.164886	344.183258	325.142151	361.118835	385.1633				
SLM:000055221	Species	Lysophosphatidate (12:0)	LPA(12:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C15H29O7P	-2	352.361389	354.180725	354.180176	355.188019	393.14389	377.169952	361.196198	372.214569	353.173462	389.150146	413.19458				
SLM:000055222	Species	Lysophosphatidate (13:0)	LPA(13:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C16H31O7P	-2	366.388	368.196381	368.195831	369.203674	407.159546	391.185608	375.211853	386.230225	367.189117	403.165802	427.210236				
SLM:000055223	Species	Lysophosphatidate (14:0)	LPA(14:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C17H33O7P	-2	380.414612	382.212036	382.211487	383.21933	421.175201	405.201263	389.227509	400.24588	381.204773	417.181427	441.225891				
SLM:000055224	Species	Lysophosphatidate (14:1)	LPA(14:1)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C17H31O7P	-2	378.398712	380.196381	380.195831	381.203674	419.159546	403.185608	387.211853	398.230225	379.189117	415.165802	439.210236				
SLM:000055225	Species	Lysophosphatidate (15:0)	LPA(15:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C18H35O7P	-2	394.441193	396.227692	396.227142	397.234955	435.190857	419.216919	403.243134	414.261505	395.220428	431.197083	455.241547				
SLM:000055226	Species	Lysophosphatidate (16:0)	LPA(16:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C19H37O7P	-2	408.467712	410.243347	410.242798	411.25061	449.206512	433.232574	417.258789	428.277161	409.236053	445.212738	469.257202				
SLM:000055227	Species	Lysophosphatidate (16:1)	LPA(16:1)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C19H35O7P	-2	406.451904	408.227692	408.227142	409.234955	447.190857	431.216919	415.243134	426.261505	407.220428	443.197083	467.241547				
SLM:000055228	Species	Lysophosphatidate (16:2)	LPA(16:2)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C19H33O7P	-2	404.436005	406.212036	406.211487	407.21933	445.175201	429.201263	413.227509	424.24588	405.204773	441.181427	465.225891				
SLM:000055229	Species	Lysophosphatidate (17:0)	LPA(17:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C20H39O7P	-2	422.494293	424.259003	424.258453	425.266266	463.222137	447.248199	431.274445	442.292816	423.251709	459.228394	483.272858				
SLM:000055230	Species	Lysophosphatidate (18:0)	LPA(18:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C21H41O7P	-2	436.520905	438.274628	438.274078	439.281921	477.237793	461.263855	445.2901	456.308472	437.267365	473.244049	497.288483				
SLM:000055231	Species	Lysophosphatidate (18:1)	LPA(18:1)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C21H39O7P	-2	434.505005	436.259003	436.258453	437.266266	475.222137	459.248199	443.274445	454.292816	435.251709	471.228394	495.272858				
SLM:000055232	Species	Lysophosphatidate (18:2)	LPA(18:2)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C21H37O7P	-2	432.489105	434.243347	434.242798	435.25061	473.206512	457.232574	441.258789	452.277161	433.236053	469.212738	493.257202				
SLM:000055233	Species	Lysophosphatidate (18:3)	LPA(18:3)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C21H35O7P	-2	430.473297	432.227692	432.227142	433.234955	471.190857	455.216919	439.243134	450.261505	431.220428	467.197083	491.241547				
SLM:000055234	Species	Lysophosphatidate (18:4)	LPA(18:4)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C21H33O7P	-2	428.457397	430.212036	430.211487	431.21933	469.175201	453.201263	437.227509	448.24588	429.204773	465.181427	489.225891				
SLM:000055235	Species	Lysophosphatidate (19:0)	LPA(19:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C22H43O7P	-2	450.547485	452.290283	452.289734	453.297577	491.253448	475.27951	459.305756	470.324127	451.28302	487.259705	511.304138				
SLM:000055236	Species	Lysophosphatidate (20:0)	LPA(20:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C23H45O7P	-2	464.574097	466.305939	466.305389	467.313202	505.269104	489.295166	473.321411	484.339752	465.298676	501.27533	525.319763				
SLM:000055237	Species	Lysophosphatidate (20:1)	LPA(20:1)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C23H43O7P	-2	462.558197	464.290283	464.289734	465.297577	503.253448	487.27951	471.305756	482.324127	463.28302	499.259705	523.304138				
SLM:000055238	Species	Lysophosphatidate (20:2)	LPA(20:2)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C23H41O7P	-2	460.542297	462.274628	462.274078	463.281921	501.237793	485.263855	469.2901	480.308472	461.267365	497.244049	521.288513				
SLM:000055239	Species	Lysophosphatidate (20:3)	LPA(20:3)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C23H39O7P	-2	458.526398	460.259003	460.258453	461.266266	499.222137	483.248199	467.274445	478.292816	459.251709	495.228394	519.272827				
SLM:000055240	Species	Lysophosphatidate (20:4)	LPA(20:4)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C23H37O7P	-2	456.510498	458.243347	458.242798	459.25061	497.206512	481.232574	465.258789	476.277161	457.236053	493.212738	517.257202				
SLM:000055241	Species	Lysophosphatidate (20:5)	LPA(20:5)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C23H35O7P	-2	454.49469	456.227692	456.227142	457.234955	495.190857	479.216919	463.243134	474.261505	455.220428	491.197083	515.241516				
SLM:000055242	Species	Lysophosphatidate (21:0)	LPA(21:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C24H47O7P	-2	478.600586	480.321594	480.321045	481.328857	519.284729	503.310822	487.337036	498.355408	479.314301	515.291016	539.335449				
SLM:000055243	Species	Lysophosphatidate (22:0)	LPA(22:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C25H49O7P	-2	492.627197	494.33725	494.3367	495.344513	533.300415	517.326477	501.352692	512.371094	493.329956	529.306641	553.351074				
SLM:000055244	Species	Lysophosphatidate (22:1)	LPA(22:1)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C25H47O7P	-2	490.611298	492.321594	492.321045	493.328857	531.284729	515.310791	499.337036	510.355408	491.314301	527.291016	551.335449				
SLM:000055245	Species	Lysophosphatidate (22:2)	LPA(22:2)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C25H45O7P	-2	488.59549	490.305939	490.305389	491.313202	529.269104	513.295166	497.321411	508.339752	489.298676	525.27533	549.319763				
SLM:000055246	Species	Lysophosphatidate (22:3)	LPA(22:3)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C25H43O7P	-2	486.57959	488.290283	488.289734	489.297577	527.253479	511.27951	495.305756	506.324127	487.28302	523.259705	547.304138				
SLM:000055247	Species	Lysophosphatidate (22:4)	LPA(22:4)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C25H41O7P	-2	484.56369	486.274628	486.274078	487.281921	525.237793	509.263855	493.2901	504.308472	485.267365	521.244019	545.288513				
SLM:000055248	Species	Lysophosphatidate (22:5)	LPA(22:5)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C25H39O7P	-2	482.547791	484.259003	484.258453	485.266266	523.222168	507.248199	491.274445	502.292816	483.251709	519.228394	543.272827				
SLM:000055249	Species	Lysophosphatidate (22:6)	LPA(22:6)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C25H37O7P	-2	480.531891	482.243347	482.242798	483.25061	521.206482	505.232574	489.258789	500.277161	481.236053	517.212769	541.257202				
SLM:000055250	Species	Lysophosphatidate (24:0)	LPA(24:0)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C27H53O7P	-2	520.68042	522.36853	522.367981	523.375793	561.331726	545.357788	529.383972	540.402344	521.361267	557.337952	581.382385				
SLM:000055251	Species	Lysophosphatidate (24:1)	LPA(24:1)		SLM:000055199			[O-]P([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C27H51O7P	-2	518.66449	520.352905	520.352356	521.360168	559.31604	543.342102	527.368347	538.386719	519.345642	555.322266	579.36676				
